5,9,10,3,8
10,2,2,5,6
15,7,1,4,3
20,1,2,10,3
25,7,6,9,7
30,10,6,7,9
35,10,9,10,6
40,8,3,4,9
45,7,6,10,9
50,6,8,7,2
55,3,5,10,1
60,9,8,5,8
65,10,6,3,2
70,2,5,10,6
75,9,1,6,6
80,2,9,10,4
85,1,1,7,8
90,9,7,5,6
95,2,6,1,9
100,1,10,7,7
105,3,7,1,6
110,5,3,9,9
115,7,8,5,9
120,8,3,2,4
125,1,7,10,7
130,4,9,1,4
135,1,10,5,5
140,2,5,1,6
145,3,7,2,7
150,1,5,9,4
155,6,2,5,5
160,5,10,8,9
165,2,3,9,7
170,2,10,2,8
175,9,10,10,4
180,5,4,4,4
185,9,9,3,1
190,10,8,7,8
195,8,10,7,2
200,8,7,6,1
205,5,9,8,7
210,10,1,2,1
215,8,8,2,7
220,8,8,5,10
225,10,6,7,10
230,5,2,2,8
235,10,8,8,1
240,8,8,3,10
245,2,9,9,6
250,7,4,3,6
255,2,10,8,4
260,7,2,10,2
265,7,3,1,8
270,1,10,2,4
275,6,3,6,9
280,2,10,5,9
285,8,5,8,9
290,6,4,9,5
295,4,8,9,5
300,7,3,6,2
305,9,2,7,10
310,3,2,7,2
315,6,8,7,9
320,2,2,3,1
325,10,10,8,1
330,4,7,7,7
335,1,4,10,10
340,8,7,10,2
345,2,4,6,9
350,3,5,1,8
355,2,7,6,7
360,2,4,1,2
365,10,3,8,9
370,2,9,7,3
375,5,6,6,6
380,7,1,3,5
385,8,4,2,4
390,6,4,5,8
395,4,3,4,9
400,3,2,6,1
405,6,1,8,2
410,3,4,10,7
415,10,9,2,4
420,9,8,10,6
425,3,4,3,5
430,9,5,9,4
435,4,6,8,4
440,9,7,3,9
445,6,5,10,4
450,6,3,6,8
455,3,1,9,2
460,9,9,7,1
465,9,8,1,9
470,9,4,1,1
475,9,5,10,1
480,9,6,10,10
485,10,4,8,6
490,6,1,8,8
495,3,7,4,3
500,5,9,8,1
505,8,7,1,6
510,8,4,9,5
515,8,3,5,2
520,4,8,2,1
525,7,4,9,2
530,10,5,6,2
535,6,2,2,7
540,7,10,2,7
545,4,3,10,3
550,6,7,7,9
555,6,2,4,10
560,4,1,8,10
565,8,5,6,1
570,5,10,7,10
575,4,10,8,9
580,5,1,8,10
585,9,7,1,4
590,3,1,4,9
595,6,9,5,10
600,2,4,10,3
605,3,3,5,9
610,3,6,10,10
615,10,2,10,1
620,5,8,6,9
625,3,3,4,2
630,6,4,6,10
635,2,5,9,1
640,7,8,9,5
645,8,1,2,7
650,3,9,7,2
655,8,7,2,9
660,9,3,5,4
665,5,8,8,6
670,9,4,4,4
675,5,3,4,9
680,6,8,7,8
685,1,2,5,1
690,5,1,6,4
695,9,9,6,4
700,4,1,1,4
705,2,4,5,8
710,5,10,6,2
715,5,2,4,2
720,1,8,4,6
725,3,6,1,4
730,7,2,1,8
735,3,4,6,10
740,2,4,7,6
745,4,2,1,1
750,6,3,6,10
755,8,10,9,9
760,4,1,8,10
765,9,1,10,9
770,5,1,8,2
775,5,6,7,2
780,4,4,1,9
785,5,5,10,1
790,10,3,9,4
795,5,9,2,8
800,3,2,5,2
805,2,3,8,9
810,1,6,6,4
815,10,9,5,7
820,7,5,7,2
825,8,3,7,9
830,3,5,6,3
835,9,5,2,9
840,9,7,1,1
845,9,9,3,10
850,5,5,6,10
855,4,5,8,7
860,5,10,6,5
865,3,5,10,1
870,10,5,5,10
875,8,9,1,7
880,8,3,2,6
885,2,4,10,8
890,1,3,9,4
895,7,2,9,3
900,1,4,9,4
905,8,1,3,1
910,1,3,1,2
915,9,9,2,8
920,8,3,7,10
925,8,9,9,3
930,1,2,9,10
935,10,2,10,2
940,9,6,3,1
945,1,4,4,4
950,6,8,3,2
955,5,9,5,4
960,2,3,6,9
965,2,3,5,10
970,4,4,3,8
975,10,9,10,8
980,4,6,3,4
985,3,3,9,3
990,8,2,7,7
995,6,3,1,8
1000,1,4,6,9
1005,3,10,7,9
1010,2,9,2,5
1015,8,9,2,2
1020,6,8,4,1
1025,8,10,2,4
1030,4,3,1,10
1035,8,6,2,10
1040,7,8,2,6
1045,4,10,1,3
1050,4,3,3,6
1055,10,6,2,8
1060,10,8,2,5
1065,2,2,8,8
1070,9,8,7,4
1075,3,7,10,5
1080,9,7,1,8
1085,8,7,1,2
1090,8,8,4,7
1095,10,1,9,9
1100,5,10,3,7
1105,10,4,3,7
1110,2,6,3,2
1115,2,9,2,9
1120,7,3,4,7
1125,3,3,1,7
1130,8,7,3,5
1135,5,5,7,1
1140,4,2,7,6
1145,1,7,7,2
1150,3,10,10,9
1155,4,1,6,9
1160,1,4,8,3
1165,10,9,7,3
1170,5,9,6,6
1175,3,2,4,1
1180,7,3,10,2
1185,3,2,2,8
1190,2,6,10,10
1195,8,9,5,2
1200,1,10,7,1
1205,8,2,3,4
1210,6,6,2,10
1215,10,10,4,1
1220,2,10,3,9
1225,7,5,4,9
1230,6,9,3,2
1235,5,7,2,6
1240,3,3,8,4
